,SHAP_value,SK-ESD
dit,0.08936864076037314,1.0
avg(cc),0.07329222753441667,2.0
loc,0.06889520776812509,2.0
cam,0.06584163547395822,3.0
lcom,0.06344467221497513,3.0
lcom3,0.06072212110994291,3.0
ca,0.04660207560313226,4.0
moa,0.007477174098508407,5.0
noc,0.005704638226155552,5.0
ic,0.003652158092802164,6.0
