,SHAP_value,SK-ESD
avg(cc),0.08970258619767998,1.0
lcom,0.08380298584820334,1.0
dam,0.08291581703501039,1.0
cam,0.050263515553086,2.0
lcom3,0.0468952964772671,2.0
amc,0.04393878839640724,2.0
ca,0.02966289107693516,3.0
moa,0.021159893327453685,4.0
dit,0.02060945852773768,4.0
ic,0.013170332037096279,5.0
noc,0.0033367948614772642,6.0
