,SHAP_value,SK-ESD
amc,0.09266506578603381,1.0
lcom,0.05639641527961257,2.0
lcom3,0.050075991524571165,2.0
npm,0.04625245812639116,3.0
avg(cc),0.046211045354793374,3.0
ca,0.04139632423199089,3.0
dit,0.030993946352050154,4.0
ic,0.01763728758752665,5.0
moa,0.015112930529481268,5.0
noc,0.007929911754179085,6.0
