,SHAP_value,SK-ESD
lcom,0.0850235620529678,1.0
avg(cc),0.08055288123934025,1.0
amc,0.07754060233805407,1.0
lcom3,0.06371134220330499,2.0
ic,0.060132964098316914,2.0
cam,0.042479963293737204,3.0
ca,0.029311636580205712,4.0
dam,0.026516727799703613,4.0
dit,0.019490286044821916,5.0
moa,0.0193543476045999,5.0
noc,0.0035277578716166108,6.0
