,SHAP_value,SK-ESD
dit,0.09286995489508063,1.0
ca,0.08487596546553407,1.0
amc,0.07547218490478932,2.0
npm,0.06803213135204349,2.0
cbm,0.05148993494533702,3.0
cam,0.03765649115236385,4.0
dam,0.03520710312229837,4.0
avg(cc),0.03013464943841992,5.0
lcom,0.029397122552806472,5.0
moa,0.009521954025063775,6.0
noc,0.0025002626719944406,7.0
