,mean_shap,wp_r,cp_r
Closeness,0.041361737593952,,1.0
pWeakC(un),0.0348973297089294,1.0,2.0
Betweenness,0.025772845596615947,3.0,2.0
lcom,0.0223176209696392,1.0,4.0
npm,0.021276507651717,,5.0
cbm,0.0197033682577287,,5.0
lcom3,0.01627921729919095,6.0,3.0
2StepP(out),0.0161694315280545,,5.0
cam,0.015100460396581101,4.0,4.0
avg(cc),0.0136917619944429,2.0,6.0
amc,0.01327493856457205,7.0,4.0
moa,0.012174828512193349,5.0,5.0
2StepR(out),0.0114379918833272,,7.0
dit,0.0114026863466866,,6.0
Indirects,0.0097906283150499,,8.0
2StepR(un),0.0089176366519824,7.0,7.0
Indirec(g),0.00815335860012095,4.0,8.0
nBroke(un),0.0073933085739842,6.0,7.0
nBroke(in),0.0073773384391191,,9.0
pWeakC(in),0.0072160745392999,7.0,6.0
nWeakC(in),0.0068129309877488,6.0,
Constrain,0.0064561547673045,,9.0
Constra(g),0.0060693870047707,7.0,
ReachE(out),0.0059668841020932,,9.0
Densit(out),0.005826928274214599,8.0,8.0
Diamet(in),0.0049745309753632,,10.0
Efficie(g),0.00493011229503295,8.0,8.0
mfa,0.0048799777369511,8.0,
Hierarc(g),0.0048051228871728,10.0,7.0
ca,0.0044053705207458,,8.0
Diamet(out),0.0040374374159757,9.0,
AvgDis(un),0.00398620966126075,13.0,9.0
2StepR(in),0.0035247900997206,10.0,
2StepP(in),0.0032507001883205,,11.0
Densit(in),0.0027454246413361003,12.0,11.0
nBroke(out),0.0027354965998829,11.0,
ReachE(in),0.0022112019280128,12.0,
noc,0.00209617450145515,14.0,10.0
ic,0.0010416257927646,14.0,
EgoBet(in),3.376165870510162e-05,15.0,
nEgoBe(in),1.9467814962276308e-05,,12.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
max(cc),,,
