,mean_shap,wp_r,cp_r
pWeakC(un),0.0326831159626106,,2.0
Closeness,0.0244692444465445,,1.0
amc,0.0235014429873125,1.0,4.0
ReachE(un),0.0203246843150577,2.0,
lcom3,0.01978661425143715,4.0,3.0
Betweenness,0.01876212742075565,8.0,2.0
pWeakC(out),0.0172094207795274,3.0,
2StepR(un),0.0168036259669625,4.0,7.0
npm,0.0154776769269862,,5.0
avg(cc),0.015232089148447151,2.0,7.0
cbm,0.0135280552733764,,5.0
lcom,0.013367926259465701,5.0,5.0
2StepR(out),0.012749927259681,,7.0
cam,0.012514661830521601,6.0,5.0
moa,0.011739688040786251,13.0,5.0
2StepP(out),0.0093824475859052,8.0,6.0
nBroke(un),0.00917960615950195,5.0,9.0
Diamet(out),0.0073364265384578,7.0,
Indirec(g),0.007290847317950801,9.0,9.0
pWeakC(in),0.0071333630472529,7.0,8.0
Indirects,0.0068554577043809,,9.0
Densit(out),0.00662600009873735,6.0,9.0
Hierarc(g),0.00659084630072115,11.0,8.0
nBroke(in),0.0057545011504913,,10.0
Constrain,0.0052517487611035,,10.0
Efficie(g),0.00506873876313665,10.0,9.0
dam,0.0050160501987956,9.0,
nWeakC(in),0.0049380928084889,9.0,
ReachE(out),0.0046810044176119,,10.0
AvgDis(un),0.004644289894624801,10.0,10.0
Densit(in),0.0042045220903965,11.0,12.0
dit,0.0041783778416907,14.0,8.0
ca,0.0037433406640871997,12.0,10.0
2StepP(in),0.0029071188789746,12.0,12.0
Diamet(in),0.00276609596119145,12.0,11.0
noc,0.0025304808834076,14.0,11.0
Diamet(un),0.0020957798087549,12.0,
nBroke(out),0.0013993444913137,13.0,
ic,0.0013662538810277,13.0,
nEgoBe(in),1.736709337440279e-06,,13.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
EgoBet(in),0.0,,
EgoBet(out),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
mfa,,,
max(cc),,,
