Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),pro,method
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030676226751185785,0.009078778850886336,,,0.04173997095000716,0.037737158040047375,0.04413382419687399,0.04597824224679559,,,0.0381970562311992,,0.048558495103723315,0.03216535043651518,,0.05098388636725226,,0.026414754374227033,ant_1.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03095294901398806,0.009477655888941165,,,0.03761699345462235,0.0384092932291147,0.046852240856314765,0.0502645517362204,,,0.03037177940003776,,0.04854859331371212,0.031633755970347566,,0.05344831545267035,,0.027817476701699526,ant_1.5,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331917959812754,0.009347378021336313,,,0.04038652464644417,0.04032792521786202,0.04505002375877864,0.043898083380493655,,,0.028972376931139215,,0.04688586595525597,0.031821512235286516,,0.053611267137850825,,0.028807774082544486,ant_1.6,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03548259303277124,0.010843820725326239,,,0.03670437928686069,0.03858095802558891,0.04274898242736782,0.0479277383018929,,,0.030359913493913315,,0.048152888796367276,0.029185940566199987,,0.05035685648262986,,0.028682789350939614,ant_1.7,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031813729956986524,0.009539375696070652,,,0.04134726101012332,0.03831652828988257,0.04338165181984492,0.04450184415881946,,,0.04021887434916918,,0.04791204949439749,0.02960167479520591,,0.048705234602018685,,0.027179225653456644,ivy_2.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03487539703622715,0.011052781915329523,,,0.0372344149342537,0.037810915410662824,0.05153275571705116,0.04261555084335214,,,0.03144632907145728,,0.04742193550733208,0.034032465479854765,,0.052259437912031005,,0.026803280311902242,jEdit_3.2.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035156077850146746,0.010354845899520541,,,0.03816146834509458,0.04176081691829251,0.04298539098874377,0.044572920735825305,,,0.026540194612786606,,0.04924204206029216,0.032473908935418745,,0.054006742135942316,,0.027157493034941145,jEdit_4.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03475134124547388,0.008959926179188345,,,0.03897592483931184,0.039145281195631966,0.04450526514882676,0.04708617217511763,,,0.033148133912169656,,0.04701156730653964,0.03468671476707717,,0.05075279121155393,,0.026843841212558162,jEdit_4.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029622800086029938,0.008344596868730045,,,0.04065287820400242,0.04213566244153431,0.039143204325848016,0.043212350684547346,,,0.035135597418055754,,0.04801349536244855,0.03478547161042091,,0.05537354251956635,,0.028220231215522567,jEdit_4.2,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03532353964236976,0.009516691689475732,,,0.039090683639817464,0.03873312686244824,0.042259390654110385,0.043966366037210346,,,0.03053416330329119,,0.053023776269207734,0.030401759924299616,,0.05434170760733745,,0.02757429704034077,log4j_1.0.4,all_code
