,all_codeMean
amc,0.05202849977575168
cam,0.048131489160370654
npm,0.046602389004577374
lcom3,0.045438723734984275
ca,0.03821295103686638
lcom,0.03817444744761002
moa,0.035131081951913265
dit,0.03389541531654772
ic,0.03305348350449314
avg(cc),0.027356458213599215
noc,0.009310303230300953
