,mean_shap,wp_r,cp_r
Closeness,0.071206225,,1.0
lcom,0.0533129355,1.0,4.0
pWeakC(out),0.049490162500000004,2.0,3.0
nBroke(out),0.044094125,3.0,
avg(cc),0.03998488,2.0,6.0
Betweenness,0.0340150315,4.0,2.0
cam,0.0252686485,5.0,4.0
Eigenvector,0.022041822,,5.0
dam,0.02092491,6.0,
mfa,0.020577232,5.0,6.0
cbm,0.020571768,,5.0
lcom3,0.019952149500000002,8.0,3.0
2StepP(out),0.016138951,,6.0
Diamet(out),0.014104462,7.0,
Densit(out),0.013796949999999999,6.0,8.0
nBroke(un),0.0133203025,6.0,7.0
Indirects,0.011604144,,7.0
2StepR(in),0.011502336,8.0,
2StepR(un),0.011493129500000001,9.0,7.0
Constra(g),0.010571015,8.0,
2StepR(out),0.010472461,,7.0
AvgDis(un),0.0101103755,7.0,9.0
Indirec(g),0.008870316,8.0,8.0
Ties(in),0.008067887,10.0,
ReachE(in),0.007874056,10.0,
Hierarc(g),0.0075731965,10.0,7.0
Efficie(g),0.007221679,10.0,8.0
pWeakC(in),0.0070030565,11.0,7.0
ReachE(out),0.006969404,,8.0
nBroke(in),0.00671017,,9.0
Constrain,0.006028123,,9.0
ca,0.005584428,,8.0
nWeakC(in),0.004695416,11.0,
Densit(in),0.0044717225,11.0,11.0
Diamet(in),0.004274951,,10.0
2StepP(in),0.003815115,,10.0
ic,0.00351631,12.0,
EgoBet(in),0.000232044,13.0,
nEgoBe(in),5.26e-06,,12.0
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Pairs(in),,,
AvgDis(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
amc,,,
max(cc),,,
