,SHAP_value,SK-ESD
lcom3,0.05824663858159835,1.0
Betweenness,0.04209005682569034,2.0
wmc,0.02987494784361047,3.0
Hierarchy,0.025923342213692,4.0
Efficienc,0.019173417049685473,6.0
lcom,0.01897841091121919,6.0
Eigenvector,0.015739295444424983,7.0
dit,0.013341587430205568,8.0
ca,0.01227814472784033,8.0
cbm,0.008852989928389418,9.0
