,SHAP_value,SK-ESD
dam,0.07419534341229603,1.0
cbo,0.062199589269830706,2.0
avg(cc),0.058444888108659276,2.0
lcom,0.045133560361831075,3.0
lcom3,0.027312607883346593,5.0
cam,0.020893739219395645,6.0
dit,0.0057431840889124825,9.0
