,SHAP_value,SK-ESD
lcom,0.051878162823935814,2.0
lcom3,0.04875787532188872,2.0
avg(cc),0.04521454129601567,3.0
Indirects,0.011690620796443044,7.0
ca,0.008000284229768041,9.0
ic,0.00612185792679184,10.0
dit,0.005448654055570571,10.0
