,SHAP_value,SK-ESD
Betweenness,0.06319395213009649,1.0
Hierarchy,0.03284050360282754,2.0
lcom3,0.029533642942448986,3.0
mfa,0.022687887775135935,5.0
cam,0.021795455236161533,5.0
lcom,0.016584348281205783,6.0
avg(cc),0.013951646209393008,7.0
cbm,0.007725657961456935,8.0
