,SHAP_value,SK-ESD
Betweenness,0.05720256821790436,2.0
lcom,0.04339380871122248,3.0
avg(cc),0.03600963787570175,4.0
lcom3,0.02810237032995729,5.0
cam,0.015407820907625125,7.0
mfa,0.015195400900167374,7.0
cbo,0.01373350401867665,8.0
ic,0.003535133960232913,11.0
