,all_codeMean
amc,0.07321482095989723
lcom,0.06316900753227596
cam,0.061236957550244914
lcom3,0.060809255449240644
avg(cc),0.058954870636227945
dam,0.05801313028733857
npm,0.0530920585889278
mfa,0.0506712112613623
ca,0.04405226663050995
cbm,0.041999267328786574
dit,0.03489661455562459
ic,0.024944545036997445
moa,0.02131459233151953
noc,0.008149780477958642
