Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),pro,method
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004983201132154633,,,0.08532839415463941,0.023770629528829506,,0.05913780764748899,,0.04170848123782041,0.010576863360141254,0.046910211395370306,0.027961593220742587,,0.12789832953626198,0.04236945216209454,,0.03408324546754335,poi_2.5,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019490286044821965,0.0035277578716166524,,,0.08502356205296786,0.02931163658020575,,0.06371134220330502,,0.026516727799703654,0.019354347604599975,,0.04247996329373725,0.06013296409831695,,0.07754060233805411,,0.08055288123934033,poi_3.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026776191520000224,0.0326561199412238,,0.06429725620633188,0.02377590049529438,0.028556759016236298,0.03509410298584775,,0.05178698583771274,0.004014808397519757,0.07145746020130672,0.05044880709493389,0.02527775455224526,,,,0.11274250571418933,synapse_1.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08936864076037314,0.005704638226155608,,,0.06344467221497524,0.04660207560313231,,0.06072212110994297,0.06889520776812516,,0.007477174098508454,,0.06584163547395824,0.003652158092802211,,,,0.0732922275344167,synapse_1.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009510551079566004,0.005374572002450157,,,0.035865120101206696,0.04333527746348114,,0.056656533782793866,0.11391061488462628,,0.015047703726960956,,0.07453422119793897,0.0166699935863013,,,,0.07580736077814314,synapse_1.2,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02379528815679291,0.003255554706319972,,,0.06803183670126144,0.032858440422915844,0.035465445788819536,0.08966125806040387,,,0.06964900885675332,,,0.005046241572351178,,0.09138220943951618,,0.08290331010826497,Tomcat_6.0.39,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09286995489508068,0.0025002626719944853,,,0.029397122552806517,0.0848759654655341,0.06803213135204356,,,0.03520710312229841,0.009521954025063829,,0.037656491152363886,,0.051489934945337074,0.07547218490478937,,0.03013464943841997,velocity_1.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014166613179319222,0.014856262746692253,,,0.04566140355969408,0.02529690361202263,0.03757258147958145,,,0.047628407859721486,0.049562373901269434,,0.06027791040357426,,0.0120470730102115,0.128878518180094,,0.049679483647089774,velocity_1.5,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01920121723932333,0.0036129004491494998,,,0.03363978262020931,0.027361988304477797,0.0421663792397956,,,0.04311682161896305,0.01331556085125241,,0.14307225264491252,,0.055438197121376084,0.04694423476479791,,0.04825615071779368,velocity_1.6.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02463662627095573,0.006427116514925456,,,0.0686288155138917,0.030301289923913566,0.043703508859035,0.10036029410382566,,,0.024561472867307074,,,,,0.07725954594898207,,0.1105051158298766,xalan_2.4.0,all_code
