,SHAP_value,SK-ESD
amc,0.05788411394778217,1.0
cam,0.05477981617551478,1.0
moa,0.046095791523324464,2.0
lcom3,0.042277592953862506,2.0
npm,0.04112081349449172,2.0
ca,0.0358724887439069,3.0
lcom,0.033245462987380014,3.0
dit,0.03278501896888997,3.0
ic,0.030641012233578367,3.0
avg(cc),0.02604127252893441,4.0
noc,0.010712666244096839,5.0
