,SHAP_value,SK-ESD
amc,0.054687848916212735,1.0
cam,0.052754268279970616,1.0
lcom3,0.05062951275750911,1.0
npm,0.046598744501591134,2.0
ca,0.0381967466596281,3.0
moa,0.03771540058931583,3.0
dit,0.03693503007949327,3.0
lcom,0.03452058450282722,3.0
ic,0.030896130676667327,4.0
avg(cc),0.02829612078063337,4.0
noc,0.008836893072644904,5.0
