,SHAP_value,SK-ESD
amc,0.05537354251956632,1.0
cam,0.048013495362448484,1.0
lcom3,0.043212350684547325,2.0
ca,0.04213566244153425,2.0
lcom,0.04065287820400238,2.0
npm,0.03914320432584799,2.0
moa,0.03513559741805569,3.0
ic,0.03478547161042087,3.0
dit,0.029622800086029893,4.0
avg(cc),0.02822023121552251,4.0
noc,0.00834459686873,5.0
