,SHAP_value,SK-ESD
amc,0.054341707607337406,1.0
cam,0.05302377626920769,1.0
lcom3,0.04396636603721029,2.0
npm,0.042259390654110315,2.0
lcom,0.03909068363981733,3.0
ca,0.038733126862448196,3.0
dit,0.03532353964236972,3.0
moa,0.03053416330329115,4.0
ic,0.03040175992429958,4.0
avg(cc),0.027574297040340572,4.0
noc,0.009516691689475679,5.0
