,SHAP_value,SK-ESD
lcom3,0.05918824867142338,1.0
amc,0.05083306112823185,2.0
npm,0.04721139305759924,2.0
cam,0.04547079157942966,2.0
lcom,0.038686474247845715,3.0
ca,0.03649102010092008,3.0
ic,0.033054028843627715,4.0
dit,0.03296665123838528,4.0
moa,0.03255795064425079,4.0
avg(cc),0.027208486166285545,5.0
noc,0.009521269167854807,6.0
