,SHAP_value,SK-ESD
Closeness,0.05100596604002178,1.0
Betweenness,0.046609178613417665,1.0
lcom3,0.03663745159139351,2.0
lcom,0.02434407930009342,3.0
Eigenvector,0.02362870348875534,3.0
cam,0.02147427821272574,4.0
cbm,0.019772221532241403,4.0
avg(cc),0.018287458696357995,5.0
mfa,0.016594195874369208,5.0
Indirects,0.011563950182366348,7.0
ca,0.009332778761450217,8.0
Constrain,0.008413817966831716,9.0
