,SHAP_value,SK-ESD
Closeness,0.0631430860433608,1.0
Betweenness,0.03737423723269146,2.0
lcom3,0.03683888021664765,2.0
Eigenvector,0.029839298521577986,3.0
lcom,0.025378488168419727,4.0
cam,0.025157186785860163,4.0
cbm,0.02162694135496756,5.0
avg(cc),0.017574618625673097,6.0
mfa,0.014516991712291961,7.0
Indirects,0.010731649628019015,9.0
ca,0.008474901353763822,11.0
Constrain,0.008175211211718764,11.0
