,SHAP_value,SK-ESD
lcom3,0.049067708417204606,1.0
Closeness,0.04789642621462993,1.0
Betweenness,0.038622061353330656,2.0
cbm,0.029477408015447047,3.0
Eigenvector,0.027442049270859446,3.0
cam,0.026090612923263555,4.0
lcom,0.02430982146340677,4.0
avg(cc),0.01908053531575511,5.0
mfa,0.014425073175299992,6.0
Indirects,0.00982543269128792,8.0
ca,0.00892394393271316,9.0
Constrain,0.007902585694650431,10.0
