,SHAP_value,SK-ESD
Closeness,0.0702381541876707,1.0
lcom3,0.04485119691624863,2.0
Betweenness,0.03610107809180725,3.0
Eigenvector,0.03266179658141818,3.0
cbm,0.027787684210746347,4.0
lcom,0.023240594980160435,5.0
cam,0.02095826108682939,5.0
avg(cc),0.02068122955910409,5.0
mfa,0.014595500141039844,6.0
ca,0.010682458061367906,7.0
Indirects,0.00943735078435426,7.0
Constrain,0.008637265603479277,8.0
