,SHAP_value,SK-ESD
Closeness,0.05038361607524229,1.0
lcom3,0.040492295151569484,2.0
Betweenness,0.038135592106751666,2.0
cam,0.025891637067771315,3.0
Eigenvector,0.02583800472165186,3.0
cbm,0.023900923241546676,3.0
lcom,0.023327457148219623,3.0
avg(cc),0.01934094981665595,4.0
mfa,0.014942786727009884,5.0
ca,0.010744278725972828,6.0
Indirects,0.010716735226459174,6.0
Constrain,0.007767958405389877,7.0
