,SHAP_value,SK-ESD
Closeness,0.05094188093873324,1.0
lcom3,0.0443168913512337,2.0
Betweenness,0.041364928330231476,2.0
Eigenvector,0.025899337843048615,3.0
cam,0.024645934743552617,3.0
cbm,0.02405416254708022,3.0
lcom,0.02125914791213453,4.0
avg(cc),0.01753458664102699,5.0
mfa,0.013974481711383435,6.0
Indirects,0.011883651226099272,7.0
ca,0.009929974064182652,8.0
Constrain,0.008978239407000262,9.0
