,SHAP_value,SK-ESD
Closeness,0.04984353822732442,1.0
lcom3,0.04120514158167862,2.0
Betweenness,0.036713614495079386,2.0
Eigenvector,0.023505613166669877,3.0
lcom,0.022386736545308483,3.0
cam,0.02226065237547687,3.0
cbm,0.020867730158853973,3.0
avg(cc),0.01653838381471378,5.0
mfa,0.01574540141956302,5.0
ca,0.010803653379219258,7.0
Indirects,0.010349276615788341,7.0
Constrain,0.008516948649701902,9.0
