,wp_shap,wp_r,cp_r
Ties(in),0.062188527,1.0,
lcom,0.060369554,1.0,4.0
nWeakC(in),0.047094613,2.0,
nBroke(out),0.045346644,2.0,
nBroke(un),0.039964011,3.0,9.0
cam,0.039706871,3.0,4.0
pWeakC(out),0.037632665,3.0,3.0
2StepR(out),0.026299645,4.0,8.0
avg(cc),0.02559837,4.0,6.0
Indirec(g),0.01673044,5.0,10.0
dam,0.016379901,5.0,
Densit(in),0.015817075,5.0,13.0
lcom3,0.014790131,5.0,3.0
Indirects,0.013190923,6.0,9.0
Efficie(g),0.011392312,6.0,10.0
2StepR(in),0.010042018,7.0,
mfa,0.009522158,7.0,7.0
Densit(out),0.00945657,7.0,10.0
2StepR(un),0.009428985,7.0,8.0
ReachE(out),0.008523713,8.0,10.0
ReachE(in),0.007847364,8.0,
pWeakC(in),0.007352647,8.0,8.0
AvgDis(un),0.005760607,9.0,11.0
Hierarc(g),0.004309032,10.0,9.0
ic,0.002015829,11.0,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
Size(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,12.0
2StepP(in),,,12.0
Broker(in),,,
nBroke(in),,,11.0
nEgoBe(in),,,14.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
2StepP(out),,,6.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,11.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
ca,,,10.0
npm,,,
loc,,,
moa,,,
cbm,,,5.0
amc,,,
max(cc),,,
