,wp_shap,wp_r,cp_r
avg(cc),0.062979665,1.0,5.0
cam,0.056526281,2.0,3.0
2StepP(out),0.045914446,3.0,6.0
Indirec(g),0.038925882,4.0,10.0
lcom,0.038648697,4.0,4.0
Indirects,0.035100637,4.0,10.0
Densit(out),0.03045506,5.0,10.0
pWeakC(in),0.027668698,5.0,8.0
mfa,0.026925922,5.0,7.0
nBroke(out),0.025795969,6.0,
Diamet(out),0.023141231,6.0,
lcom3,0.018493468,7.0,2.0
Densit(in),0.015054602,8.0,13.0
Constra(g),0.014118427,8.0,
Efficie(g),0.012821864,9.0,10.0
2StepR(un),0.012566306,9.0,10.0
AvgDis(un),0.011795164,9.0,11.0
nBroke(un),0.010053394,10.0,9.0
Hierarchy,0.009852108,10.0,
ReachE(in),0.008012681,11.0,
cbm,0.007536941,11.0,6.0
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,14.0
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,13.0
nWeakC(in),,,
2StepR(in),,,
2StepP(in),,,12.0
Broker(in),,,
nBroke(in),,,12.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,4.0
2StepR(out),,,8.0
ReachE(out),,,10.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,11.0
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Hierarc(g),,,9.0
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
ca,,,10.0
npm,,,
loc,,,
dam,,,
moa,,,
ic,,,
amc,,,
max(cc),,,
