Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc)
,,,-0.0090206892138546,,-0.012894497597431385,,-0.029293952561145368,,-0.012603890325540455,,,0.0006072571288160629,0.0,0.0,,,,-0.008073488878602354,,,,-0.0585379375569716,-0.036304595908910116,-0.035534841463314336,,,-0.013435035780930799,0.0,0.0,,,,,-0.0130434977508683,-0.014988827191529979,,,-0.023802695514781088,,,,-0.007742056278874141,0.0,0.0,,,,-0.002517368240467257,-0.0018524072601084321,,,,,,,-0.013623947354856288,,,,,-0.007175150150115368,-0.014857321841347545,,,,,,-0.07346731579013771,-0.014452736035614134,,-0.06106758544712423,,-0.013608052116525254,,-0.02389581741573165,-0.023278898801628974,0.0239131391290731,,,,0.00014680481311697777
,,,0.0062853503410712774,,-0.0013074080940139615,,0.04165447919458396,,0.0019917425741134685,,,0.0012015899870893034,0.0,0.0,,,,-0.0018145181545258708,,,,0.07975436240055685,0.05330835942685169,0.02252635098919277,,,0.0019917936247411602,0.0,0.0,,,,,-0.0007628705958698392,-0.00028761925487006947,,,0.02069804993924993,,,,0.029568147661470926,0.0,0.0,,,,0.008102653779054269,0.0034640317089385617,,,,,,,0.006165769889791327,,,,,0.00038586812819236215,0.022211718413877767,,,,,,0.04122154646547939,0.00937705494559587,,0.09565664149163747,,-0.0073751484514179705,,-0.013639546685242443,0.029367469701477928,-0.04049511471448315,,,,0.020343839882051774
,,,-0.009076282692142943,,-0.01428471666071769,,-0.033614090250334565,,-0.02122766469381341,,,0.0006322330022169813,0.0,0.0,,,,-0.01157176068465347,,,,-0.048833615712644884,-0.029795274453425672,-0.03036652719481342,,,-0.0028352509257568615,0.0,0.0,,,,,-0.007904313827519086,-0.019263530428404764,,,-0.02311089222041205,,,,-0.004697361715850817,0.0,0.0,,,,-0.004126923880846071,-0.003092282966746175,,,,,,,-0.0015834849203276605,,,,,0.002649797205964643,0.02948836632149614,,,,,,-0.0641220876945566,-0.010994269329211274,,-0.056515451529341766,,-0.013471747202931683,,-0.01996877391076366,-0.02807033946198368,0.026003516371130707,,,,-0.0006526759490154998
,,,0.005079786780804444,,0.006661075102133008,,-0.0012811978685871375,,0.000503290007994274,,,0.0010271566581512273,0.0,0.0,,,,0.0011009768786642313,,,,0.10184375204047039,0.04396373179131401,0.01823178821630565,,,0.0018497615752542118,0.0,0.0,,,,,0.0017120510688407445,0.02481799354780326,,,0.05030781859841918,,,,0.017979224086801304,0.0,0.0,,,,0.017744886644800617,0.002403746187410327,,,,,,,0.01522093291207432,,,,,0.004902381768313972,-0.012270536148382126,,,,,,0.04294997654897832,-0.003376423510103574,,0.07272865599749799,,-0.004697618958484599,,0.041163054410923904,-0.006062195108737465,0.04147594665563535,,,,-0.016385421289701774
,,,-0.00034947216319161157,,-0.03473736598091694,,-0.024891234483009506,,-0.004754064889107289,,,5.24258785488888e-05,0.0,0.0,,,,-0.010830247734992022,,,,-0.11496682741083572,-0.030615075885454274,-0.02543239258257343,,,0.00035237958842398087,0.0,0.0,,,,,-0.00024171348903719923,9.444450415617528e-05,,,-0.04991052602855501,,,,-0.007775413024572605,0.0,0.0,,,,-0.006273025991637047,-0.003550155547291581,,,,,,,0.003071025241646299,,,,,-0.0007763170521573479,-0.011282047676602033,,,,,,-0.06696995864072208,-0.0018453837171092437,,-0.03147344817659521,,0.003376555945756202,,-0.004129184597389844,-0.007841476563011636,-0.051833013301983706,,,,0.0031261083728085287
,,,-0.004074670901441189,,-0.03186986800386858,,-0.039729048545765616,,-0.005155591313932718,,,0.00038230758169976737,0.0,0.0,,,,-0.011959117906304034,,,,5.948109011741539e-05,0.010924771922975826,0.0095990299144072,,,0.0006462331343063619,0.0,0.0,,,,,-0.0004050544200288762,0.008337363124538465,,,0.019642504337955228,,,,-0.02829734488978268,0.0,0.0,,,,-0.014437424165605936,-0.030528741865023162,,,,,,,-0.015924923176487277,,,,,-0.02230983485040216,-0.02552356632088759,,,,,,-0.007797603926566011,-0.006870317848000378,,-0.01432951186485998,,-0.02193020012913882,,-0.0858335618739595,-0.00125345376678076,-0.06319933790046482,,,,-0.008567922842105408
,,,0.001052785436217286,,-0.021229913749826534,,0.016327479213327768,,0.0002554136262585375,,,0.0011460809606701247,0.0,0.0,,,,0.0038636749247794215,,,,0.08987513745508753,0.036903267762766784,0.024963532235611312,,,0.0015530476724064043,0.0,0.0,,,,,-0.0013107999542849537,0.004618453887759372,,,-0.00925758490686415,,,,0.026462979821857878,0.0,0.0,,,,0.003592507558289945,0.0027829515895810234,,,,,,,0.0078386599915944,,,,,-0.017308968965493752,-0.0020189322469260015,,,,,,0.03402279229791304,0.008504209946071123,,0.08112774872077065,,-0.00529784261095512,,0.031015683120958516,0.03157897386249554,0.037679946070286796,,,,0.02085331087424144
,,,0.0008631968168577151,,0.001810943552073195,,-0.03525732726234595,,-0.010657318697503018,,,0.0008060633279899749,0.0,0.0,,,,-0.006187143065557757,,,,0.07690048677041186,0.031092509090178782,-0.017792105490706644,,,-0.0013635586992164948,0.0,0.0,,,,,-0.004350030554840717,-0.027747107110568107,,,-0.06618400719865467,,,,-0.005020179165695906,0.0,0.0,,,,-0.038126486056248736,-0.007147363826615144,,,,,,,-0.01677622788857779,,,,,-0.0033444418307149023,-0.002336911729870802,,,,,,-0.10027295451204749,-0.00673933748927683,,-0.02816661807872952,,-0.014082614677836402,,0.011282470381741365,-0.009605609889060908,0.021614058854826125,,,,-0.05361779097541662
,,,-0.005801572242171289,,-0.017298865207243018,,-0.0001750259145623283,,-0.010891778198437249,,,-0.027392835139350237,0.0,0.0,,,,-0.009629353960341518,,,,0.0699539923488483,-0.006688093250956943,0.010811172178865843,,,-0.05585759860635689,0.0,0.0,,,,,-0.004305808144763238,-0.03761252512072412,,,-0.008133570292727484,,,,-0.02878948270132861,0.0,0.0,,,,-0.013746542234623687,-0.002530895605195376,,,,,,,-0.009670337300773714,,,,,-0.025289847078278683,-0.005523266821576484,,,,,,0.013437056370977819,-0.012002622093576647,,-0.05310139859773833,,-0.03731202220288796,,0.015674654781176488,-0.01918493549545592,0.016602926591449057,,,,0.014053168532346363
,,,-0.005602122817109416,,-0.0275900395845786,,0.014736446240174714,,-0.02034571990703189,,,0.0008358220525315635,0.0,0.0,,,,-0.04108475776250054,,,,-0.08467697330276758,-0.017061334216420112,-0.04811156084235485,,,0.003249587394297821,0.0,0.0,,,,,-0.004209216581871623,-0.013493526689794453,,,-0.02226691605144592,,,,-0.013641171194258476,0.0,0.0,,,,-0.016902034450000852,-0.01887971351655477,,,,,,,-0.00835461561041224,,,,,-0.013627090112122287,0.002925798882262569,,,,,,0.04254141053672253,-0.009736531004016035,,-0.0385143976986679,,-0.01885267198147212,,0.0064505839484352255,-0.003481260183777164,0.0274964086239645,,,,-0.0022098095766373716
,,,0.0006683306652165257,,0.028788528732558168,,0.05437097092652281,,-0.008069372807645176,,,0.0005394775335815744,0.0,0.0,,,,0.03754665901380031,,,,0.035657625054657145,0.00752817678002094,0.06322066339851964,,,0.0033320741818095036,0.0,0.0,,,,,0.030691347045996215,0.039163661963870056,,,0.02303835135434469,,,,0.015569456718607657,0.0,0.0,,,,0.011061664374538817,0.004627073389508176,,,,,,,0.012830095147782376,,,,,0.008080693249124762,0.011507199487372357,,,,,,-0.022494552782263838,0.004826161810986148,,-0.01804718519983543,,0.007385119226689653,,0.014618693077519757,-0.00539224071413898,-0.031511816625758506,,,,0.020057739591209083
,,,-0.006760153569874398,,-0.01132834966330557,,-0.02907376379754827,,-0.00869839707818901,,,0.00019178806808688845,0.0,0.0,,,,-0.006903342314670373,,,,-0.09768141363847554,-0.02267000411860452,-0.03903652280642587,,,0.0013312712706473404,0.0,0.0,,,,,-0.002141162407602885,-0.005706470191777233,,,-0.019405465439553946,,,,-0.003287215748698987,0.0,0.0,,,,-0.002822922051373381,-0.004028731129918205,,,,,,,-0.015600936922347944,,,,,-0.0008313117472196184,0.01066097489448107,,,,,,-0.07559299213000277,-0.008129322412577267,,-0.038572104139653625,,-0.006868902880753255,,-0.011339375393814572,0.0010833594813474722,-0.047096467686744886,,,,-9.747185083613575e-05
,,,-0.0009940460432819815,,-0.038621821805078005,,-0.02387740313524254,,-0.004372263751035567,,,0.00016696629745521722,0.0,0.0,,,,-0.010008451035314395,,,,-0.1167133288846614,-0.027575952719747217,-0.025611315039546646,,,0.0005439407970287358,0.0,0.0,,,,,-0.00027553065144119966,-0.0018837373356352261,,,-0.04942210856714277,,,,-0.006570109541448125,0.0,0.0,,,,-0.0026158726291002654,-0.005659051979040864,,,,,,,0.005448444178108922,,,,,-0.004687353643463538,-0.011274627691540196,,,,,,-0.05953023841389474,-0.0023570550394309948,,-0.03437824547567593,,-0.009789332669741042,,-0.011152539747365593,-0.0012144539133486217,-0.05629995409642719,,,,0.008320037130605617
,,,-0.003055840946494811,,0.016483456404660538,,-0.01740558696212149,,-0.0037765891949037393,,,-0.008852971877266271,0.0,0.0,,,,-0.005999258738799894,,,,-0.13043908183247624,-0.00286102368668272,-0.0008071537740585197,,,-0.004517832122413339,0.0,0.0,,,,,-0.009466867041444565,-0.020378488328231234,,,-0.04837569134182048,,,,-0.0165706237985874,0.0,0.0,,,,-0.026919160897353665,-0.006107700135827307,,,,,,,-0.013634322194258688,,,,,0.004000285753401052,-0.007224693843708343,,,,,,-0.07140893592593009,0.011164060863619625,,-0.023503675581594285,,0.03496060741472304,,0.001602993235203847,-0.021919774166692836,0.025195279854826523,,,,-0.030586816541174247
,,,-0.0009811567396467097,,-0.03466903526262228,,-0.025871197486035405,,-0.005066675406211447,,,0.00017809572699036783,0.0,0.0,,,,-0.008419777707363197,,,,-0.11500616941601381,-0.02855114853684533,-0.03329783657008747,,,0.0006810622211788551,0.0,0.0,,,,,-0.003202108913376,-0.0068396197702810775,,,-0.044518034303750745,,,,-0.012571734413117782,0.0,0.0,,,,-0.0052161010329930925,-0.0034283468069927488,,,,,,,-0.007703569491995941,,,,,-0.008345223762319534,-0.012850041071627634,,,,,,-0.033907229209878306,-0.008738590070468105,,-0.03132685387466423,,-0.010353804051013368,,-0.014841227578867314,-0.0041462452741350105,-0.04731310297837936,,,,0.005900266375111141
,,,-0.005505712454152252,,-0.0073692365409369475,,-0.015275916793559203,,-0.004705845743794068,,,0.00035518563450553204,0.0,0.0,,,,-0.0047174149529965554,,,,0.05074621995904883,-0.0005886806764198455,-0.01884241327526176,,,0.0008987787013940747,0.0,0.0,,,,,-0.009975262784783352,-0.03671442489927796,,,-0.029157809666643407,,,,-0.00438955934403656,0.0,0.0,,,,-0.014997122343561839,-0.005430336102510057,,,,,,,-0.005243776375091556,,,,,-0.027373266705793913,-0.0035186641182112254,,,,,,0.00400469809118667,0.008892008602074432,,-0.025627762820730725,,0.0020914900311794883,,-0.10947613438484699,-0.008497078642982875,0.011604507252463316,,,,-0.06159187505166652
,,,0.0018515689890947745,,-0.016040653109675816,,0.0407688260872429,,-0.0025473312608253365,,,0.0014035904131524677,0.0,0.0,,,,0.0304512022501274,,,,0.01942579811862377,0.009469180096803165,-0.003749501189317749,,,0.0005480943767186658,0.0,0.0,,,,,-0.0026740065139936346,0.017492928824421657,,,0.04541274623532372,,,,0.0038992488162911043,0.0,0.0,,,,-0.002156177352680466,0.006312455390189991,,,,,,,0.012692088791810639,,,,,0.01100128890659068,0.007859180234754643,,,,,,0.048292838937996366,-0.002305813010124938,,0.029345420177462025,,0.039825263169460064,,0.034299612939289986,0.011759902437782825,0.05427436126058386,,,,0.03268248057749171
,,,-0.0007409709215006107,,0.007396690546370888,,-0.05493475590216817,,0.003365890552143949,,,0.0002226952385277759,0.0,0.0,,,,-0.010451987176602402,,,,-0.10860646691475888,-0.0249379691221962,-0.030578848865738764,,,0.0008564372796160108,0.0,0.0,,,,,0.001159856630174492,0.0034416982319296244,,,-0.052585910871702495,,,,-0.003530724311341885,0.0,0.0,,,,-0.005707965098346646,0.0021604412034365752,,,,,,,-0.013306144049598507,,,,,0.0020847093120992654,-0.028012293854783047,,,,,,-0.055340870633618935,-0.0019841696031593138,,-0.03159373520475857,,-0.01387023334343109,,0.0036666290675371597,-0.010491357041673408,-0.05782466919205026,,,,0.009738618640188063
,,,-0.002028425188268877,,-0.04019004883950734,,-0.02457069455074306,,-0.004529917541818623,,,0.00017827483879329263,0.0,0.0,,,,-0.014581712224593986,,,,-0.12310002941974091,-0.03243773246489057,-0.023752548310842024,,,0.0009687844172240408,0.0,0.0,,,,,-0.0001226562531848885,0.00024723432034258355,,,-0.02853154297906379,,,,-0.01123482909768375,0.0,0.0,,,,-0.004108319492833737,-0.005713499739358371,,,,,,,-0.0001756548152703454,,,,,0.0022430999290982603,-0.01176034242793294,,,,,,-0.04804895989796629,-0.00038033756541708437,,-0.04196403121498762,,-0.009582878626569225,,-0.012843734413773471,-0.004143857500821741,-0.05812175321517921,,,,-0.002119293130415937
,,,0.009488280658080127,,-0.001632290728096485,,0.0637717758867455,,-0.009065916541268348,,,0.0006365418277401549,0.0,0.0,,,,0.029104574838883263,,,,-0.0048112069353945085,-0.00014594280517192168,-0.014019277994716904,,,0.003323220064476141,0.0,0.0,,,,,0.001025756415071038,-0.0004414798177007805,,,0.028207368949171363,,,,0.03040034441927695,0.0,0.0,,,,0.00584346091396647,0.0241188598660643,,,,,,,0.012188542929453115,,,,,0.013848206141412344,0.03414683443821845,,,,,,0.0717102188529936,-0.0055064180184858,,0.021532901900994394,,-0.010707041065991062,,0.019389190160253405,-0.00297301973756665,-0.03085833068126886,,,,0.011019440657455335
,,,0.011484105866024908,,0.01447002410383507,,0.01573013360065749,,0.0048239332344793525,,,0.0013280833851955112,0.0,0.0,,,,-0.015128059857795542,,,,0.11096361501517873,0.010653876673397155,0.0013151210187608673,,,-0.011919969883572192,0.0,0.0,,,,,0.0042547207504510754,-0.001118842360660944,,,0.039914638212785326,,,,0.0031234182878903676,0.0,0.0,,,,-0.0009359456837733097,0.0008628251901167125,,,,,,,0.004168596710005129,,,,,0.006536485628395759,0.02026805631508691,,,,,,0.05012121211339033,0.015594066588170771,,0.0829070708378618,,-0.004170616605391679,,0.022271257779520506,0.022401266812689447,0.04205348609538927,,,,0.01762203476650576
,,,0.0004966304979750164,,0.008645679143921968,,0.02938014297753118,,0.0021373646054051697,,,0.0006315399449099606,0.0,0.0,,,,-0.019358259647536773,,,,-0.09250449132120442,-0.02769045582369948,-0.046851086322886974,,,0.0013676585848011835,0.0,0.0,,,,,-0.011592908297230208,-0.0038842545647506947,,,-0.007359668948101693,,,,0.0005368890495319418,0.0,0.0,,,,-0.0059732409752444385,0.00024224058830439894,,,,,,,-0.016950800214129487,,,,,-0.003825702270241883,-0.01489956883999594,,,,,,-0.07220381680961213,-0.007359704001113912,,-0.04177195893920514,,-0.012404270240550432,,-0.009495417814574709,-0.003969670927442022,-0.06579420387824139,,,,-0.009954070962024629
,,,-0.000284685278344695,,-0.017444222833673896,,-0.01269570426029134,,-0.006336011823024334,,,0.0003686896606504735,0.0,0.0,,,,-0.0092073516155019,,,,-0.13256100059623502,-0.03697100975313593,-0.034455755755798824,,,0.0007177334944237545,0.0,0.0,,,,,-0.0030936893588683232,-0.006404921229971713,,,-0.051572004898283785,,,,-0.013584320058014061,0.0,0.0,,,,-0.007456046061866879,-0.001622581696469451,,,,,,,-0.0042850062292695635,,,,,0.0037853925117686143,-0.014169612490168841,,,,,,-0.010261203711138922,-0.0015606496130591188,,-0.03822973436268951,,-0.013320818696078037,,-0.009551226401803881,-0.004608605030497245,-0.05915578339809554,,,,0.003554724080032288
,,,-0.003711800660713477,,-0.013141736555784532,,-0.03009207303551755,,0.004185355663649325,,,-0.001329573595040533,0.0,0.0,,,,9.037931469562639e-05,,,,-0.14060783210999422,-0.026650200297494594,0.019003889758716308,,,-0.004376245529791589,0.0,0.0,,,,,-0.006283896120675479,-0.006955410794443616,,,-0.05209082846450855,,,,-0.010364024852117378,0.0,0.0,,,,-0.005126907287380087,-0.003972196405247645,,,,,,,0.001995501630969836,,,,,-0.0030113542939572305,0.026577286953198238,,,,,,-0.057504406403035155,-0.003902768510842124,,-0.03189411505430806,,-0.011397424176238857,,-0.001346603906977969,-0.013945028153122069,-0.03294647549931791,,,,-0.011606917020126136
,,,0.005861159589703786,,0.004452114207976021,,-0.04181461936160348,,-0.004105564308678463,,,0.0003411592776792479,0.0,0.0,,,,0.0002835314547460821,,,,-0.1479487677665875,-0.032146176420207256,-0.030592121250615934,,,0.0008818706335345431,0.0,0.0,,,,,-0.000696046806941562,-0.016773429614122776,,,-0.0676635546941738,,,,-0.010437949780541791,0.0,0.0,,,,-0.006267607828007387,-0.008744432719061796,,,,,,,0.008784669585671152,,,,,-0.00590706356439029,-0.017044090346955587,,,,,,0.05230359802937207,0.017501113831139312,,-0.03391492503563071,,-0.010873207943975885,,-0.009254635750424008,-0.008353053869352447,-0.059831184068948044,,,,0.0015538091149912283
,,,-0.010111508282540949,,-0.025142571268517398,,0.014946702375131921,,-0.011558983807096595,,,0.0005880224972565042,0.0,0.0,,,,-0.005267751700710662,,,,0.06351688943086238,-0.01288656157971335,-0.02385521605439187,,,-0.0003347432660480156,0.0,0.0,,,,,-0.010209151930504737,-0.0054077285914652376,,,0.007809967267257364,,,,-0.017624321460597545,0.0,0.0,,,,-0.025190901106022325,-0.03331267258679762,,,,,,,-0.017189868594298916,,,,,-0.013673978929944316,0.0038395204068606883,,,,,,0.03775870608216574,0.0010339060458698294,,-0.04738594970554342,,0.004394265293927294,,0.011016555721301278,-0.027934528251824818,0.033531963383383975,,,,-0.0017554667934047477
,,,-0.0013037651666003064,,-0.005968057481219442,,0.028731430027063447,,-0.0012444639817497803,,,0.0014401313040391373,0.0,0.0,,,,0.03254539088928251,,,,0.0289275153375691,0.010445715012434137,-0.0033111019324739777,,,0.0018622880980229913,0.0,0.0,,,,,0.011509671768969486,0.028055868345290638,,,0.03350330106133606,,,,0.0008979441678832925,0.0,0.0,,,,0.0005995813835709892,0.008619049581564672,,,,,,,0.009341400203805602,,,,,0.011696451864878343,0.005309883292022747,,,,,,0.0552869307708267,0.00330779481604822,,0.020156045848645707,,0.03164500142357584,,0.028332274596298956,0.007118454789913698,0.04589874780132309,,,,0.01619111077227287
,,,-5.981228397324114e-05,,0.006403859901108248,,-0.053904217090168884,,0.0045877200014010746,,,0.00017735033706041883,0.0,0.0,,,,-0.010408139313425269,,,,-0.12381482584026494,-0.029734388534868116,-0.03154312788608102,,,0.0010145002569149997,0.0,0.0,,,,,-0.0005798076654513855,0.00286078706715679,,,-0.05812288454008845,,,,-0.0022266340518010373,0.0,0.0,,,,-0.006236143759509735,-0.0011420493706243416,,,,,,,-0.0055075993238074055,,,,,-0.008518052268944809,-0.018901305744387274,,,,,,-0.04201176705963102,-0.002619948505250182,,-0.03328911433659747,,-0.010238363305734756,,-0.011358634036712837,-0.009773264630996007,-0.0544799031182258,,,,-0.0009796403025030239
